"Technology","Age","Value","Year","Mode"
"ICEM-G",17,3604,2017,"Motorcycle"
"EM",17,0,2017,"Motorcycle"
"ICEM-G",18,2690,2017,"Motorcycle"
"EM",18,0,2017,"Motorcycle"
"ICEM-G",19,2089,2017,"Motorcycle"
"EM",19,0,2017,"Motorcycle"
"ICEM-G",20,1416,2017,"Motorcycle"
"EM",20,0,2017,"Motorcycle"
"ICEM-G",0,5707,2018,"Motorcycle"
"EM",0,0,2018,"Motorcycle"
"ICEM-G",1,9004,2018,"Motorcycle"
"EM",1,0,2018,"Motorcycle"
"ICEM-G",2,12580,2018,"Motorcycle"
"EM",2,0,2018,"Motorcycle"
"ICEM-G",3,8393,2018,"Motorcycle"
"EM",3,0,2018,"Motorcycle"
"ICEM-G",4,8424,2018,"Motorcycle"
"EM",4,0,2018,"Motorcycle"
"ICEM-G",5,10761,2018,"Motorcycle"
"EM",5,0,2018,"Motorcycle"
"ICEM-G",6,7686,2018,"Motorcycle"
"EM",6,0,2018,"Motorcycle"
"ICEM-G",7,6993,2018,"Motorcycle"
"EM",7,1,2018,"Motorcycle"
"ICEM-G",8,7557,2018,"Motorcycle"
"EM",8,1,2018,"Motorcycle"
"ICEM-G",9,7345,2018,"Motorcycle"
"EM",9,1,2018,"Motorcycle"
"ICEM-G",10,5571,2018,"Motorcycle"
"EM",10,0,2018,"Motorcycle"
"ICEM-G",11,4987,2018,"Motorcycle"
"EM",11,0,2018,"Motorcycle"
"ICEM-G",12,10599,2018,"Motorcycle"
"EM",12,0,2018,"Motorcycle"
"ICEM-G",13,4519,2018,"Motorcycle"
"EM",13,0,2018,"Motorcycle"
"ICEM-G",14,5171,2018,"Motorcycle"
"EM",14,0,2018,"Motorcycle"
"ICEM-G",15,4829,2018,"Motorcycle"
"EM",15,0,2018,"Motorcycle"
"ICEM-G",16,5193,2018,"Motorcycle"
"EM",16,0,2018,"Motorcycle"
"ICEM-G",17,3805,2018,"Motorcycle"
"EM",17,0,2018,"Motorcycle"
"ICEM-G",18,3459,2018,"Motorcycle"
"EM",18,0,2018,"Motorcycle"
"ICEM-G",19,2396,2018,"Motorcycle"
"EM",19,0,2018,"Motorcycle"
"ICEM-G",20,1861,2018,"Motorcycle"
"EM",20,0,2018,"Motorcycle"
"ICEM-G",0,21279,2019,"Motorcycle"
"EM",0,0,2019,"Motorcycle"
"ICEM-G",1,5699,2019,"Motorcycle"
"EM",1,0,2019,"Motorcycle"
"ICEM-G",2,8841,2019,"Motorcycle"
"EM",2,0,2019,"Motorcycle"
"ICEM-G",3,12240,2019,"Motorcycle"
"EM",3,0,2019,"Motorcycle"
"ICEM-G",4,8262,2019,"Motorcycle"
"EM",4,0,2019,"Motorcycle"
"ICEM-G",5,8282,2019,"Motorcycle"
"EM",5,0,2019,"Motorcycle"
"ICEM-G",6,10604,2019,"Motorcycle"
"EM",6,0,2019,"Motorcycle"
"ICEM-G",7,7509,2019,"Motorcycle"
"EM",7,0,2019,"Motorcycle"
"ICEM-G",8,6651,2019,"Motorcycle"
"EM",8,1,2019,"Motorcycle"
"ICEM-G",9,6867,2019,"Motorcycle"
"EM",9,1,2019,"Motorcycle"
"ICEM-G",10,5436,2019,"Motorcycle"
"EM",10,1,2019,"Motorcycle"
"ICEM-G",11,4901,2019,"Motorcycle"
"EM",11,0,2019,"Motorcycle"
"ICEM-G",12,4377,2019,"Motorcycle"
"EM",12,0,2019,"Motorcycle"
"ICEM-G",13,9029,2019,"Motorcycle"
"EM",13,0,2019,"Motorcycle"
"ICEM-G",14,3633,2019,"Motorcycle"
